Data Type Name,Data Type Description,Relationship Diagram,Relationship to Skills,Relationship to Practices,Relationship to Projects,Relationship to Duties,Relationship to Stakeholders,Relationship to Project Milestones,Relationship to Tools,Relationship to Activities,Relationship to Deliverables,Relationship to Job Functions,Relationship to Specializations,Relationship to Company Types,Relationship to Methodologies,Relationship to Workshops,Hard Skills,Soft Skills,Roles,Specializations,Tools,Tasks,Deliverables,Work Type,Product Milestones
Activity,An activity that gets completed.,Tasks.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/J5K0DVW45KZxVjX9MqE1zA/xIcQxtumRR13ZV-vcEPYSeh-WHO38OEBhnJvOFxbqRo146PGIWYebv7wG7ymtXgzmCrA-bp_t86w56yVgBp7fimIz3VWm1EAxnsPpvhhBDjrBsDJoIvzZI175m09ODtC_2orrACK7QfhCqFilDAt0A/2Aj55UP0pfs2eWVDsZPyFlBJs0c6aaGXkTgXWLYVXk0),An activity requires many kinds of skills to successfully do; skills are performed in order to complete activities.,An activity requires many kinds of practices to successfully do; practices are performed in order to complete activities.,Many activities are involved in projects; a project requires many kinds of activities to successfully complete.,Many activities are involved in performing duties; a duty requires many activities to successfully perform.,Activities involve many kinds of stakeholders; stakeholders participate in activities together.,Many activities are required to complete project milestones; project milestones involve many activities.,An activity requires tools to use; tools enable the successful completion of activities.,,Activities enable people to produce deliverables; deliverables require many activities.,Many activities are involved in job functions; job functions require people to perform activities.,An activity may be a part of many specializations; specializations involve completing activities,Many activities change based on the company type; different company types require different kinds of activities,Activities use methodologies; methodologies involve people performing activities in certain ways,Activities are performed to complete workshops; workshops involve people performing activities together,,,,,,"A/B Prototype Test Creation,Analyzing Research Findings,Autotest Creation,Brand Identity Formation,Card Sorting ,Contextual Inquiries,Defining Team Working Agreements,Design Component Creation,Market Research,Developing Information Architecture,Diary Studies,Feature Scope Definition,Feature Vision Definition,Icon and Logo Creation,Identifying Priorities,Interviewing,Level of Effort Estimation,Moderating UX Research,Observing (Ethnography),Presenting Research Results,Generating Problem Statements,Prototype Creation,Release Scope Definition,Requirements Gathering,Requirements Refinement,Product Roadmap Maintenance,Scheduling Meetings,Secondary Research,Sprint Planning,Storyboarding,Strategy Definition,Surveys,Team Role and Responsibility Definition,QA Testing,Tracking Epic Progress,Tracking Milestone Progress,UI Kit Creation,Product Positioning,Usability Testing,UX Heuristics Analysis,Velocity Calculation,Wireframing,Kickoff / Intake,Writing Requirements,User Acceptance Testing,Clickable Prototype Creation,Penetration Testing,Security Protocol Definition,Sprint Demo Facilitation,Sprint Retrospective Facilitation,Threat Modeling,Tracking Sprint Progress,Facilitating Agile Workshops,Technical Architecture Creation,Documenting Code,Coaching Team Mates,Customer Segmentation,Developing Go-To-Market Strategy,Experiment Design,Firewall Configuration,Identifying Research Patterns,Information Security Audit,Inventorying Content,Price Testing,Customer Experience Mapping,Creating Research Plans,Creating AI Prompts,Creating Presentations,Creating REST APIs,Defining Team Process,Deploying Code,Entity Relationship Creation,Rapid Ideation,Search Engine Optimization (SEO) Design,Blockchain Coding,Calculating Statistics,Collecting Analytics,Copywriting,Creating Illustrations,Database Creation,Front-End Coding,Measuring Accessibility,User Story Generation,Server-Side Coding,Site Map Testing,Analyzing Project Risk,Choosing Research Methods,Primary Research,Optimizing SEO,Product Backlog Maintenance,Release Vision Definition,Creating Annotations,Prototype Concept Testing ,Creating Acceptance Criteria,Maintaining the Client Relationship,Investigating Competitors,Defining Research Operations,Defining UX Design Operations,Leading Agile Transformation,Choosing an Agile Method",,,
Company Type,The formation type for a company that dictates how work gets delivered,,,,,,,,,,,,,,,,,,,,,,,"In-house Company,Agency,Freelance and Consulting,Startup",
Deliverable,Something provided as a result of a process.,Deliverables.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/H9HQgBtcEM_XHPDrhXyj5A/K3uzw_Ly5MvCX08cBjtN3C7OxdW_MRmPn4ldB0TNwTbxKd0DOcytS_XaIAKz5O0XWdamyfk5yMhkNaHI2HGALX1fMQQ1DZSKMhaKrTh5aLmKMcom_tq790TawmtX6X_AOfWUxcw2K92zjP0k3aJo7EZnl-JG1snWbyYuaEvIYVs/2fZFbKrnNKq4HfYM15nlHtHWD5Qd96YwD8oN-JDngvA),,,,,,,,,,,,,,,,,,,,,"Vision Boards,Problem Statements,Problem Checklists,Epics and Features,Release-level Scope,Acceptance Criteria,User Story Statements,Behavior-Driven Development Scenarios,QA Test Plan,System Architecture Diagram,Task Flows,Use Case Scenarios,Use Case Diagrams,Competitive Analysis,Market Research Analysis,Refined Backlog,Sprint Plan,Wireframes,How Might We (HMW) Statements,Affinity Map,Brand Identity,Burn Down Chart,Business Plan,Buyer Personas,Customer Experience Diagram,Design Annotation,Editorial Style Guide,Empathy Map,Gantt Chart,Go-To-Market Plan,Project Hand-off,High-Fidelity Prototypes,Key Performance Indicators (KPI's),Low-Fidelity Prototypes,Marketing Plan,Objectives and Key Results (OKR's),Prioritized Backlog Tasks,Proto Personas,Rainbow Table,Sketches,Release Plan,Research Plan,Research Report,Roadmap,Sprint Demo Presentation,Statement of Work,Storyboard,Task Analysis,UI Development Specifications,User Journey Map,User Personas,UX Audit Report,Design System,Sitemap,Copywriting Document,Analytics Audit,Taxonomy,Positioning Statement,Unique Value Proposition,Microcopy,Usability Test Report,Microservices Architecture,Network Architecture,QA Test Cases,Component Library,Research Analysis,Kanban Board Statuses,API LIbrary,AI Prompt,Logo and Brand Assets,Accessibility Analysis,Architecture Diagrams,Brand Archetypes,Code,Coding Documentation,Content Inventory,Content Outline,Customer Segmentation,Database Architecture,Entity Relationship Diagrams,Hosting Infrastructure,Personal Growth Roadmap,Pitch Deck,Product-Market Fit Analysis,Project Goals Definition,Project Plan,QA Analysis,RACI Charts,Smart Contracts,Sprint Goals,Sprint Retro Action Items,Stakeholder Feedback,Task-Level Scope,Technical Architecture Specifications,Working Agreements,Workshop Results,Team Process Map,Agile Maturity Measurements,Agile Method,Psychological Safety Plan,Risk Analysis,SEO Strategy,Team Charter",,
Duty,A set of expected duties.,Roles.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/6NLJuiMIzQTPYOFid2BpHw/SenhxMlulvHcaBkRSpWV8yieHWmVdHXWifFXoGaY8IHrYAbAorI2UDcfVVdB60UviNHWE1aNLMLUwbtubP0SVxVrEq4v2muzRnEhz0eORD7zsUm2wLKK3IIhhfYAhEy0-ter4KLj13ipjxtmFyysAg/iqXPU26hUriSP-nQafwyHIHQPc2Zm1Wk97MNsvVXP-A),,,,,,,,,,,,,,,,,"Agile Coaching,Development,Business Analysis,Information Security Analysis,Product Management,Product Ownership,Project Management,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Writing,QA Analysis,Graphic Design,UX (User Experience) Strategy,Account Management,Product Operations,All duties",,,,,,
Industry,A category for companies that perform a certain type of work.,,,,,,,,,,,,,,,,,,,,,,,,
Job Function,The label used to describe responsibilities at a company.,Job Titles.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/ldc8p7Dr2cm3f_NtNbDpqg/XNfene_ugCmziinexYV7kgxi-zJz18TQb6tN_GV81YQvdXVYzZPEEajQSZRasEykrcoMMiOF4D6py024I2cLBlatDFAVe-3saJHCqGfRI2Q8SdVShMrJGNW_Avt3WGQu33txLjweujEwfgsM1r3YipY6ARGv2olKQuwD_eQqPuI/35bWr19cOlOgK_6oQ8RO6DoTD31zrkjBY1gCSJ_V2gI),,,,,,,,,,,,,,,,,,,,,,,
Methodology,A step-by-step process to carry out work.,,,,,,,,,,,,,,,,,,,,,,,,
Practices,Activities that involve interacting with other people that you always work on.,Soft Skills.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/C_Ss4qCCtokRiV5uAq8eNw/1VL-oS9v2-TSiPCrEFlxn38n-gVe_j2j4IAepJVqT7QLJz6BKK8DTf9u1O6iKt307jKVCkHiPkPbZJdO7Xd9BWjHjm34Lel07cYccfjPtyMqhrVZ25I-kMxUZec6fV9Pu8lWGJ5eunBkYl5WtTmb_OPt5LKFoJXL67rGxNvEWQM/g1ycJKGVYFqVk9r0HYSQcLKziZaQoDuso1HY7POQZqQ),,,,,,,,,,,,,,,,"Ownership,Agility,Continuous Growth,Decision-Making,Empowerment,Psychological Safety,Service Leadership",,,,,,,
Product Milestone,A measured outcome of work progress.,Project Milestones.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/tJs_uHVrcLKshp6q9N-EFg/LnA-o-p2bYdFF0Knv3cfW8TFBaQPbjx8cQRcpEhTcClOHC9GLUeWwOh8W5oWstkKZI07Pjj5ejOp40qVXgtt4V72BEy4hCe1VU8XGzXCk36QIWD88xskeyufhh8RW3GX6oHF84MhLXEdgG2FpNWmNSjEqC_IfGWaaQlj6HwFzJE/P2M9jAIAYd2I7Uun69mL9ghJ6-xlWwXQ6YVNtMRdWw4),,,,,,,,,,,,,,,,,,,,,,,"Continuous Discovery,Requirements,Scope,Experience Design,Development,Launch,Vision,Quality Assurance,Architecture,Acceptance Testing,Intake,All Milestones"
Project,A work outcome that meets agreed to goals.,Projects Map.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/wjJmSHWEPCU-i-TM_jiHCA/eNHEoDliqvLCdYfA51pa7xvZQdJ1WLBgqbAthkpou--s8MtEIZGLB3bmJBAXxQsYc-_DLZbHcU9Lhuow-ijFYNvjQq7YJPdHUF3bBUMo1Pk5AJ9RIecni0FB_uiyFeg7W429H7VktWvS_tftujv5UosrJmCpTvgRHcXhGkvp2yQ/4ME3wrm8lzza_Hdpudvg786fwBQhWes2mIFpZ1IoY_8),,,,,,,,,,,,,,,,,,,,,,,
Resource,A person who contributes to the success of the work.,Resources.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/N9WB1lgSiTtTFJEfL98O6Q/ARhXTr0FD9jEx3aU0hrICPETiOXrx8dkP0FmxPlBnGruqNpCyARC6dO4d7gN4BHeB0ro2jVX2AGs6J7ElRfa00dH5rU_4fsahpAIV6YTsxl2xcV2Hpox4yxh-iBv2ZhRoMy-oYCn-tNd_Ps5SFB-zks1LX8yxXJC80P8dMeN-fc/2cGX0QwM4ejrwU2dbZzNU4MA-dbFSpMaE5pqkvhCQDE),,,,,,,,,,,,,,,,,,,,,,,
Skills,A competency in an area of expertise.,Hard Skills.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/PMVqlMtnSD8a024Y9uS5-w/6bB-gCxkjblmXs9abbZBDck6FtrAtAhxu9tcVGBzOOIFjhVaislXpkxQ1H0p-DfsF69z5bvhLuuR0WY3CeuW13AVGX0bby4m2FhnQtVAYt3uGowZNnHRyLITtg7dKXFp-Fjl5P4X8Qc4tRbWkV-WPeLbCwI6U0VGnWZwLnB5Ixo/M471r1n8mbx8qiV-OtbLcUz2AqMcCbKiSEEHfJBfBV0),,,,,,,,,,,,,,,"Requirements Management,Motor-Based Accessibility,Affinity Mapping,Agile Coaching,Backlog Management,Behavior Driven Development (BDD) Scenarios,Branding,Contextual Inquiries,Customer Experience Strategy,Design Patterns,Epic and Feature Management,Ethnography,Experiment Design,Gestalt Principles,Go-to-Market Strategy,Graphic Design,Information Architecture,Information Hierarchy,Information Visualization,Interaction Design,Interviewing,Kanban Board Management,Mental Models,Release Management,Problem Statements,Prototyping,Research Analysis,Research Facilitation,Visual Signifiers,Storytelling,Survey Design,Typography,Usability Testing,User Stories,Velocity Measurement,Vision Formation,Public Speaking,Prioritization,Click Testing,Tree Testing,Icon Design,Design Systems Management,Heuristics,Data Analysis,AI Prompting,Negotiation,Agile Method Selection,Assumption Formation,Project Management,Algorithm Design,Command Line Scripting Languages,Information Security,Meeting Facilitation,Network Architecture,Object-oriented Programming Languages,Product-Market Fit,UX Research Method Selection,Database Architecture,User Interface Design,API's,Database Management,Agile UX,Perceptual-Based Accessibility,Cognitive-Based Accessibility,Service Design,Blockchain Programming Languages,Database Queries,Server-Side Scripting Languages,Statistics,Web Scripting Languages,UI Specifications for Development,A/B Prototype Testing,Acceptance Criteria Creation,Accessibility,Design Thinking,Executive Summaries,Presentation,Process Management,Concept Testing,QA Test Plan Creation,Responsive Design,Scrum Management,Signifiers,Use Case Scenarios,Making Wireframes,Working Agreements,Workshop Facilitation,Advocacy,Problem-Solving,Receiving Feedback,Relationship Building,Stakeholder Management,Strategic Thinking,Systems Thinking,Teamwork,Time Management,Verbal Communication,Written Communication,Attention to Detail,Building Influence,Business Acumen,Buy-in Generation,Coaching,Collaboration,Commitment,Conflict Resolution,Creativity,Critical Thinking,Decision-Making,Delivering Feedback,Expectation Setting,Initiative,Logical Thinking,Organization,Perserverence",,,,,,,,
Specialization,An subject matter area of expertise.,Specializations.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/WbaHD6vFpkI4BQPXSj5WqA/NQ_qyvstFt5Ts_zw9Cz9wx8DVh9t_jofbh25u_68FEuCBN_tL3GUsz6EmpwEqcDjCkLf_EXxkrq3E7qRZENHtzvZRTS8BYG1h89vII4iL9n44wdl2HfsZy4ODnJ6IFZ7R_Qj0WmllJLSrqmDc3lO7FK3owk9Shb8i6m-8olgVXM/MUlHG9FlIQ8pu6aJk89zJE3IaODMBBUnCyxxeEYYVi4),,,,,,,,,,,,,,,,,,"Qualitative UX Research,Quantitative UX Research,Interaction Design,Service Design,Information Architecture,Content Strategy,Customer Experience Design,Product Operations,Branding,Search Engine Optimization,UX Strategy,UI Design,Accessibility Specialist,Front-End Developer,Back-end Developer,Full Stack Developer,Information Security,AI User Experience,Growth Product Management,Web3 Developer,DevOps,Mobile Native Development,Sprint Master",,,,,
Stakeholder,A person who drives the needs of work.,Stakeholders.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/zgy7_-0wla7hqfDVhfKYeg/FEc3AJgME1K_f7k1BgraJCUZyYgVGsbm9p6NPIbxcPmRHyAQrEa9cf_pEpQQlhBWOkgq1-qdVLYzcssBf0H7cnlSL7uRsewveiPABlZDq1Axz5Y8_ftokQprZxYYGV154ZBOdCvCRKO4QIgPblmXgEWsOGWrntJETwUejIT9bzw/RnvjN6qzsW2s7XZJ4FSqmhLWcwzk8m8fjfEEFwxYd4o),,,,,,,,,,,,,,,,,,,,,,,
Tech Job Category,An overall group of jobs that pertain to a common theme.,,,,,,,,,,,,,,,,,,,,,,,,
Tool,An object (physical or digital) that’s used to complete work.,Tools.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/rxM-NEFX8SK-GgRbzlHiOQ/lBb9hl8TPce0K9KcurJFJZ9jnWHrUn3XoIwjsWu0IULg0Cro61G2_EYusTARMihl9eWWDMu4rP8YxywNdgzpiqFhQRrksnDCbcQcDNzFRAbdfJruPiO9Wiok3r6_UYdeLGlIb8W1l0CwA5VV3GPWbg/9DKL031GRhhp9hq5RoRQPVfTxT72Sdp3VRdBfphXb90),,,,,,,,,,,,,,,,,,,"Figma,Notion,Figjam,Zoom,Dovetail,Trello,ChatGPT,Maze.co,Optimal Workshop,Lettucemeet,GitHub,Integrated Development Environment (IDE) Tools,Presentation Tools,Spreadsheet Tools",,,,
Workshop,A facilitated group activity that accomplishes a shared goal.,,,,,,,,,,,,,,,,,,,,,,,,